"sys_created_on","number","short_description","description","u_error_symptoms","tags"
"2025-02-03 14:15:12","INC41356181","When trying to log into IRIS this morning it asked me to change my password.  I've tried changing it multiple times but it keeps giving me the error message: Pa","When trying to log into IRIS this morning it asked me to change my password.  I've tried changing it multiple times but it keeps giving me the error message: Password must not contain repeating characters, but I am NOT repeating characters. ","","Password, Errors, nonsense"
"2025-02-03 14:15:45","INC41356200","IRIS (Integrated Rx Information System) - Unable to Login","Unable to login to Oracle","Unable to reset password","Password, User Login"
"2025-02-03 14:18:07","INC41356279","IRIS (Integrated Rx Information System) - unable to login","I'm not able to login to IRIS","unable to login ","User Login"
"2025-02-03 14:18:29","INC41356291","IRIS (Integrated Rx Information System) - IRIS - unable to reset my password. ","IRIS - unable to reset my password. ","IRIS - unable to reset my password. ","Password"
"2025-02-03 14:25:05","INC41356578","IRIS (Integrated Rx Information System) - Unable to Login","training sup, contract with optumrx. have the ms id and pw and works fine. need to reset pw","training sup, contract with optumrx. have the ms id and pw and works fine. need to reset pw","Password, User Login"
"2025-02-03 14:26:55","INC41356597","Need HASH value cleared for ERx attached to wrong patient","Please clear the HASH value for INCORRECT account -  #427386574   CORRECT account #474730282 ","","?"
"2025-02-03 14:30:16","INC41356750","IRIS (Integrated Rx Information System) - Unable to Login","IRIS login issue ","IRIS login issue ","User Login"
"2025-02-03 14:32:32","INC41356850","IRIS - Unable to reset the password","My iris password stating I need to update and it will not allow me to enter password ","IRIS - Unable to Reset the Password","Password"
"2025-02-03 14:35:33","INC41356967","IRIS (Integrated Rx Information System) - Unable to Login","I am unable to log in and unable to reset password  ","unable to log in and unable to reset password  ","User Login"
"2025-02-03 14:42:17","INC41357252","Kafka Certificate Renewal"," The kafka client certificate orx-pharmacf785fa9fd4b33b55 (rg-pharmacy-central-kafka-prod-60fa261/hcc-dataplatform-certificate-v1/orx-pharmacf785fa9fd4b33b55) has been automatically renewed as it is less than 60 days from the expiration. Your new certificate will expire on Tue, 03 Feb 2026 14:41:15 UTC. The new certificate download information has been sent to: hieu.le@optum.com, kevin.kinder@optum.com, prashant.mangidkar@optum.com, roshan_chirayil@optum.com, satya.chundru@optum.com, somasekhar_munupally@optum.com, sowmya_surietti@optum.com. A renewal email and INC will be sent around Thu, 04 Dec 2025 18:41:15 UTC. Please update all uses of this certificate immediately with the newly sent certificate to avoid any expiration resulting in downtime for your application(s). 	","","?"
"2025-02-03 14:44:13","INC41357329","IRIS (Integrated Rx Information System) - Unable to Login","cannot log in to iris due to invalid password","IRIS (Integrated Rx Information System)","User Login"
"2025-02-03 14:54:12","INC41357741","FLW - IRIS (Integrated Rx Information System) - Unable to Login","I am not able to get in to IRIS. It did let me change the password which I did but still not working.","Unable to Login","Password, User Login"
"2025-02-03 15:09:08","INC41358345","Login to Java","Login to Java","","User Login"
"2025-02-03 15:09:19","INC41358247","Files to share from PROD for Gryphon","Files to share from PROD  Path: db1000/app/oracle/r122rxeprr/fs_ne/EBSapps/appl/xxiris/inbound/Gryphon/disposition_files  Filenames: GRY_00002573_ORXHDPSP_O_00021_GRYRND_1_02032025045932.zip GRY_00002573_ORXHDPSP_O_00110_GRYLIT01_1_02032025045954.zip","","Alert, Payment, User Request"
"2025-02-03 15:09:36","INC41358410","Selected Issue: OMNI Genesys (WWE)","Submitting ticket request due to outage time being over 10 minutes: System froze and Genesys call error where call details and call would not release from system. restarted PC - VPN timeout causing delay rejoining back online. ","","Latency"
"2025-02-03 15:17:42","INC41358786","IRIS (Integrated Rx Information System) - unable to login","I am unable to login to IRIS","unable to login","User Login"
"2025-02-03 15:17:52","INC41358801","PB - Orders Open in IRIS","HELLO- Please assist on all following orders to close in IRIS  Order# 778545783-4  Tracking# 1ZC6R5104404464326 (Delivered)  --  done Order# 776518590-1  Tracking# 1ZC6R5101304464741 (Delivered)  --  done Order# 777424090-3  Tracking# 9270190350467716830862 (In Transit)  --  done Order# 777442362-3  Tracking# 9234690350467731825488 (Delivered)  --  done Order# 777151641-2  Tracking# 1ZC6R5104404467494 (Delivered)  --  done Order# 777857910-1  Tracking# 1ZC6R5124400915440 (Delivered)  --  done Order# 778808458-1  Tracking# 9261290350467717088704 (Processed)  --  done Order# 778826785-1  Tracking# 1ZC6R5100104490815 (Processed)  --  done Order# 779166050-1  Tracking# 1ZC6R5100104495543 (Processed)  --  done","","Order Issue, User Request"
"2025-02-03 15:22:22","INC41358998","IRIS - . Please assign to Babu, Pradhamasetti R. MSA ORACLE EBS (RXS) – SPT""","""Refill Smoothing 2/18/2025 to 2/21/2025 Please see attached doc for additional details. Please assign to Babu, Pradhamasetti R. MSA ORACLE EBS (RXS) – SPT""","","User Request, nonsense"
"2025-02-03 15:26:53","INC41359199","Request for Help Desk support","Need datafix for issue of multiple outbound open md comms without order # association, type TRANSFER RX-FAX- and NEWFAX. Per Bryan Lamb on previous ticket INC39898266 needed to wait for after black out period before datafix can be implemented. RCA from Sunil in email chain attached. Please route to SOS- Systems Operations Solutions (ORx)","","User Request"
"2025-02-03 15:31:24","INC41359389","Selected Issue: IRIS: NO RESPONSE","IRIS FREEZE WHEN DOING HFF","","Latency"
"2025-02-03 15:32:05","INC41359419","IRIS (Integrated Rx Information System), Restriction error via Citrix ","My current access to IRIS system is no longer working. Seeking asssstance to get access to perform work responsibilities","Restriction error","User Login"
"2025-02-03 15:32:22","INC41359434","IRIS - Unable to launch this application","I am not able to access IRIS .couldnt put in notes and unable to open","Unable to launch this application ","Launch Issues, User Login"
"2025-02-03 15:41:41","INC41359822","IRIS (Integrated Rx Information System) - Launch Issues","I am unable to login to IRIS, I changed my password earlier, now it's not allowing me "," Launch Issues","Launch Issues, User Login"
"2025-02-03 15:46:25","INC41359989","IRIS (Integrated Rx Information System) - Password reset - SHAAN  2/3","I want to reset IRIS password. ","I want to reset IRIS password. ","Password"
"2025-02-03 15:54:08","INC41360292","IRIS (Integrated Rx Information System) - Unable to Login","I need my IRIS reset the password","Too many pending requests already exist in the system. Please check your email or contact the System Administrator for further assistance.","Password, User Login"
"2025-02-03 15:54:36","INC41360307","Need to have 'Cag Maintenance responsibility' resposibility in DV02","Need to have 'Cag Maintenance responsibility' resposibility in DV02 please","","User Request"
"2025-02-03 16:01:30","INC41360543","FLW - IRIS (Integrated Rx Information System) - Freezing","I'm having an issue with my IRIS system","Freezing","Latency, Errors"
"2025-02-03 16:04:58","INC41360675","IRIS (Integrated Rx Information System) - Unable to Login ","IRIS - unable to login ","unable to login ","User Login"
"2025-02-03 16:09:37","INC41360852","Selected Issue: IRIS","i am experiencing delays in both iris and a/c. keeps getting forzen","","Latency"
"2025-02-03 16:12:07","INC41360973","IRIS (Integrated Rx Information System) - Shortcuts are missing from IRIS dashboard","IRIS - Shortcuts are missing from IRIS dashboard","Shortcuts are missing from IRIS dashboard","?"
"2025-02-03 16:20:07","INC41361317","Selected Issue: IRIS","hff iris freeze","","Latency"
"2025-02-03 16:36:39","INC41361957","FLW-IRIS (Integrated Rx Information System)-Enquiry on member credit card info error","I have a question for you. I'm trying to assist a member. She's trying to make payments online but she getting she's getting error messages.","Enquiry on member credit card info error","Payment, User Request"
"2025-02-03 16:43:12","INC41362227","IRIS - unable to log in ","im having trouble getting into citrix  showing my password is incorrect  "" 2nd concern - unable to log in to IRIS","unable to log in to IRIS","User Login"
"2025-02-03 16:47:25","INC41362365","Selected Issue: IRIS","PROMTED TO CHANGE PASSWORD IT KEEPS GIIVING AN ERROR SAID IT ACCEPTED ON PASSWORD WHEN I TRIED TO LOGIN  IT DID NOT ACCEPT IT AND NOT TAKING ANY PASSWORDS THAT I TRY TO USE THAT MEET THE CRITERIA","","Password"
"2025-02-03 16:54:26","INC41362614","IRIS (Integrated Rx Information System) - Launch Issues","Hi I I have to enter my systems through Genesis and I was trying to get into.","Launch Issues","Launch Issues"
"2025-02-03 17:07:34","INC41363077","dsmep0645,   it is just clocking, stuck with loading","http://dsmep0645/dsweb  it is just clocking, stuck with loading.   Tried InCognito, InPrivate as well","stuck with loading","Launch Issues, Errors"
"2025-02-03 17:17:55","INC41363470","IRIS (Integrated Rx Information System) -unable to login to iris being onleave. inactive access","i just came back from maternity leave and i cant access iris","unable to login to iris being onleave. inactive access","User Login"
"2025-02-03 17:19:26","INC41363513","IRIS password issue","Unable to login in was instructed to change password and will not accept ","","Password"
"2025-02-03 17:24:55","INC41363703","IRIS not responding, crashing"," My supervisor told me to call because my iris is being weird. I guess like reboot it every other 3 calls as far as like spinning or it loads for like the longest time and then there's an error message and I have to close out with task manager to get it to come back up and do that a couple of times this week so don't need to call.","not responding, crashing","Latency, Errors"
"2025-02-03 17:32:43","INC41363973","IRIS (Integrated Rx Information System) - Launch Issues","having trouble with iris, every time I have a call, need to have reversal in the claim it stuck and freeze, to use it need to force close when I reopen it works ","in and out connection with iris","Launch Issues, Latency, Errors, Crash"
"2025-02-03 17:33:57","INC41364010","IRIS (Integrated Rx Information System) - Unable to Login","I cannot login in IRIS ","I cannot login in IRIS ","User Login"
"2025-02-03 17:54:59","INC41364681","IRIS (Integrated Rx Information System)","getting internal error when trying to add a cc to Iris acct 464872144 member name is  <Protected Information was moved to secure confidential data field in the incident record>  Product entered by customer: adding a cc in Iris","Direct assign","?"
"2025-02-03 17:55:00","INC41364682","Self Service Ticket","Please unlock O778486461- User confirmed she is no longer in the order and agents cannot access the order.  Product entered by customer: IRIS","","Order Issue"
"2025-02-03 18:28:52","INC41365569","Unlock AD Account - IRIS RODRIGUEZ","User is requesting to unlock their active directory account.","","User Login"
"2025-02-03 18:30:24","INC41365681","""Failed to perform State reg"" Issue Observations: 3rd Feb (1.40 AM to 1.48 AM CT)","Deepdive RCA","","Alert"
"2025-02-03 18:36:22","INC41365890","IRIS - Unable to Log IN","I can't get in to IRIS.  I can't get in with the password I'm using. ","","User Login"
"2025-02-03 18:39:03","INC41365830","Need to get the CAG suppression table added to the OM Super user role ","Need table XXIRIS_NF_CAG_RESTRICTIONS access added to the OM Super user responsibility.  ","","?"
"2025-02-03 18:39:22","INC41365978","IRIS (Integrated Rx Information System) - Unable to access","iris "," Unable to access","Launch Issues"
"2025-02-03 18:49:55","INC41366309","IRIS (Integrated Rx Information System) - Application Blocked by Security Settin","I can't connect to my IRIS application it always asking me to my password ","Asking for username and password ","Password, User Login"
"2025-02-03 18:54:55","INC41366469","need hash clear between accounts 474751145 and 430816307","need hash clear between accounts 474751145 and 430816307 (rxs for account 474751145 created on this account) please route to MSA ORACLE EBS (RXS) - SPT","need hash clear between accounts 474751145 and 430816307","User Request"
"2025-02-03 19:12:57","INC41366875","Need a query to identify orders that may or may not have been billed appropriately to M3P ","Need a query using the Rx numbers in column ""AX"" to report out the following . (Please use the DOS in the query to pull the correct fill date)  Primary CAG details Primary CAG copay field  Secondary CAG details  Secondary CAG copay field   Identify the STATUS of where the prescription is in workflow ","","Order Issue"
"2025-02-03 19:16:43","INC41367176","Selected Issue: IRIS","My Iris keeps truning black & freezing","","Latency"
"2025-02-03 19:19:01","INC41367266","Selected Issue: IRIS - cleared cache and reboot still wasn't working correctly","Iris keeps clocking and freezing, had to end task 7 times in one call and still couldn't get it to work cleared cache and reboot still wasn't working correctly","","Latency"
"2025-02-03 19:37:00","INC41367809","Need Pharmacy Central Access for provided users - Pharmacist and OM lookup maintenance","Need access to IRIS-Pharmacy Central Non Prod for the following: First Name and Last Name email MSID Optum EmpID Komma, Ananthalakshmi ananthalakshmi_komma@optum.com akomma 2294659 Praneeth, Poolla S saipraneeth_poolla@optum.com ppranee9 2285671 Nagur Shailk Meeravalli nagurmeeravali_shaik@optum.com nshaik75 2292964 Kalyani Rajguru kalyani_rajguru@optum.com krajguru 2292989 Sannasi, Mahalakshmi mahalakshmi_sannasi@optum.com msannasi 2289764 Shanmugarajan Thiyagarajan shanmugarajan_thiyagarajan@optum.com sthiya12 2290946 Vipul Raj vipul_raj@optum.com vraj23 2292992 Vezha Vendan vezhavendan_k@optum.com vk94 2291188 S, Monesha monesha_s2@optum.com ms78 2186371 Ratul Lahkar sriratul.lahkar@cognizant.com ratullahkar 2295710  Product entered by customer: ","","?"
"2025-02-03 19:37:19","INC41367747","Cannot log into IRIS","User is unable to log into IRIS","","User Login"
"2025-02-03 19:45:21","INC41368033","IRIS - issues with mouse focus and also iris spinning, cleared catch and it froze again","issues with mouse focus and also iris spinning, cleared catch and it froze again","","Latency"
"2025-02-03 19:48:18","INC41368121","IRIS (Integrated Rx Information System) - Unable to Login","unable to login to the IRIS application "," Unable to Login","User Login"
"2025-02-03 19:56:11","INC41368359","IRIS (Integrated Rx Information System) - Need to add missing allergies so that system can perform the DUR checks and apply systematic Dur Allergy Hold.","Need to add missing allergies so that system can perform the DUR checks and apply systematic Dur Allergy Hold.  Product entered by customer: IRIS Assign ticket to following workgroup: MSA ORACLE EBS (RXS) – SPT","Need a data fix to add missing allergies so that system can perform the DUR checks and apply systematic Dur Allergy Hold.","User Request"
"2025-02-03 20:05:46","INC41368639","IRIS (Integrated Rx Information System) - Unable to Login","I'm unable to launch IRIS ","I'm unable to launch IRIS ","Launch Issues, User Login"
"2025-02-03 20:06:35","INC41368679","FLW - IRIS (Integrated Rx Information System) - Unable to Login","Can you help me because I forgot my password. I just reset my password in Iris. I mean the yeah.","unable to login to iris","Password, User Login"
"2025-02-03 20:28:13","INC41369362","IRIS (Integrated Rx Information System) - Unable to login","Unable to login to IRIS"," Unable to login","User Login"
"2025-02-03 20:34:27","INC41369553","(OBO) - Selected Issue: IRIS: NO RESPONSE","cannot get into Iris","","User Login"
"2025-02-03 20:35:04","INC41369572","Request for Help Desk support","I'm the tech lead on the Specialty Patient Portal, I'd like an api available to close IRIS orders we could utilize on our regression test, this will reduce manual intervention while running test cases.  I was asked to create this INC and have it assigned to the SOS team.","","?"
"2025-02-03 20:41:54","INC41369769","Selected Issue: IRIS","FREEZING DURING AN ORDER. WILL NOT LET TME UPDATE, IT SHOWS THE RECORD HAS BEEN CHANGED/UPDATED BY ANOTHER USER.. IT WILL NOT REFRESH. THE SYSTEM KEEPS FREEZING. ","","Latency"
"2025-02-03 20:44:52","INC41369864","IRIS - Self Resolved","Iris freezing and was able to get out and come back in, did reboot ","","Latency"
"2025-02-03 21:02:18","INC41370348","Selected Issue: OMNI Genesys (WWE)","Sporadic issues started last Thursday evening, Jan 30. I lost connection to my Workspace and had issues with IRIS freezing and not loading all info the next time I worked on Sunday, Feb 2. Today my IRIS froze on my call, had to End Task, my AC only half loaded the account info and when I looked at my Workspace, the call info and status were not correct with it showing my as Ready evening though I was still on the call and actively helping the customer. I have reset my modem and restarted, twice....incoming calls also have stuttered/delayed beeping audio.","","Latency"
"2025-02-03 21:10:26","INC41370564","DocSet Merged  for Order  779378685","Hi, Please, help a docset merged Image  Doc ID   1275239348                Image DocSet ID  7702651291  Image  Doc ID   1275239347                 Image DocSet ID  7702651290 Image  Doc ID   1275239344                Image DocSet ID   7702651289  need to be changed to  Header DocSetID  7702651419","","Image Viewer"
"2025-02-03 21:15:04","INC41370746","IRIS (Integrated Rx Information System) - Unable to Login","I was calling on behalf my Dylan because he was locked out IRIS ","","User Login"
"2025-02-03 21:21:51","INC41370872","Cannot log into IRIS","User is unable to log into IRIS","","User Login"
"2025-02-03 21:24:06","INC41370986","IRIS (Integrated Rx Information System) - need iris password reset","need iris password reset we have contractor","need iris password reset","Password"
"2025-02-03 21:31:17","INC41371168","TS04, need to find decision pop box in Release action form- to change the wording to match what is in TS01 and production.","Please assign to IRIS-Pharmacy Central Non Prod TS04, need to find decision pop box in Release action form- to change the wording to match what is in TS01 and production. just need navigation.  Product entered by customer: Please assign to IRIS-Pharmacy Central Non Prod TS04, need to find decision pop box in Release action form- to change the wording to match what is in TS01 and production.","","?"
"2025-02-03 21:35:07","INC41371281","Change Frequency of the Proposed ORTF Load Count report..Also review other reports from INC40741938","Change Frequency of the Proposed ORTF Load Count report to once daily at 6pm per the attached email","","?"
"2025-02-03 21:41:07","INC41371409","Macess is not installing from Altiris to her computer.","Macess is not installing from Altiris to her computer. Telecommuter","","?"
"2025-02-03 21:53:50","INC41371670","NY950 -  Iris: not moving the screen","the screen is not loading not able to login as well  ","","Latency"
"2025-02-03 22:18:27","INC41372454","Irwindale - Orders Open in IRIS","Assign ticket to ORX PCS IT - SP please close in IRIS  778164597-1  Product entered by customer: ","","Order Issue"
"2025-02-03 22:19:07","INC41372475","Selected Issue: IRIS - iris will not load","iris will not load","","Launch Issues"
"2025-02-03 22:33:57","INC41372833","IRIS (Integrated Rx Information System) - Please route to msa oracle spt","need rx 456895927 unlocked please route to . Please route to msa oracle spt","need rx 456895927 unlocked please route to . Please route to msa oracle spt","?"
"2025-02-03 22:59:07","INC41373282","release hold order 778123964 cancelled status","Hi, Please help to release hold Adj Rev order 778123964 cancelled status","","Order Issue, User Request"
"2025-02-03 23:00:58","INC41373329","Internal Error when trying to add a Credit Card in IRIS","IRIS ACCT. MEMBER HAS BEEN CALLING WANTING TO PAY ACCT BALANCE SINCE 01/17/2025 AND WERE UNABLE TO ADD PAYMETN METHOD DUE TO ERROR POP UP .. ACCT 458843858","","Payment, User Request"
"2025-02-03 23:03:46","INC41373384","TS01 RxClaim_BPEL calls to RxClaim-v4 service","Service Now ticket to be assigned to IRIS-Pharmacy Central Non Prod. IRIS SOA team to identify how they are calling AE/UPM API endpoint https://aesystestproxy-vm.uhc.com:22443/upm3/optumrxmember/SelectPharmacyMembersV4ndpoint for","","?"
"2025-02-03 23:27:59","INC41373748","Selected Issue: IRIS","IRIS ACCT. MEMBER HAS BEEN CALLING WANTING TO PAY ACCT BALANCE SINCE 01/17/2025 AND WERE UNABLE TO ADD PAYMETN METHOD DUE TO ERROR POP UP .. ACCT 458843858","","User Request"
"2025-02-03 23:48:53","INC41373993","release hold order 778893912","Hi, please release  CANCEL REQUEST HOLD order 778893912 in cancelled status, thanks","","Order Issue"
"2025-02-04 00:04:50","INC41374083","order 776886507 , order valid exception hold","Hi, please help to release order valid except hold closed line, Bios support team cannot release. thanks","","Order Issue, User Request"
"2025-02-04 00:18:50","INC41374321","release  CANCEL REQUEST HOLD order 779225537","Hi, please help  to release  CANCEL REQUEST HOLD order 779225537 in cancelled status","","Order Issue"
"2025-02-04 01:43:02","INC41374848","FL950- IRIS- application frozen"," application frozen","","Latency"
"2025-02-04 03:00:27","INC41375200","please share the imaging payload for MEdcomm Ids 5298782887, 5298725006 and 5298725000.","please share the imaging payload for MEdcomm Ids 5298782887, 5298725006 and 5298725000.","","?"
"2025-02-04 04:18:13","INC41375606","Content Match failed for LTM CTC IRIS Contactinfo","Content Match failed for LTM CTC IRIS Contactinfo Domain: epmp-api ltm-ctc Origin: ORX-Zabbix-Prod Application: Enterprise Preference Management Platform (EPMP) - APIs Category: Application Source: ORX-ZABBIX Severity: Major Alertid: 0022441264","","Alert, User Request"
"2025-02-04 04:43:28","INC41375706","Run fs_clone in production","Run fs_clone in production as a prep step for upcoming IRIS Release ","","?"
"2025-02-04 04:45:15","INC41375713","Shutdown forms_server46 managed server to fix fs_clone validation issue","Shutdown forms_server46 managed server to fix fs_clone validation issue in production ","","?"
"2025-02-04 06:23:05","INC41376083","10.5.6 Release load test ","Environment preparing for 10.5.6 Release load test in St01.","","?"
"2025-02-04 09:24:14","INC41376908","Updated Management node credentials for IRIS DV01, ST01, ST02 as a patching prerequisites","Updated Management node credentials for IRIS DV01, ST01, ST02 as a patching prerequisites","","?"
"2025-02-04 09:35:11","INC41376955","Hi Team - In IRIS unable to get the selectors from UiPath","Hi - We are not able to get the selectors for TS01 IRIS application with indicator option for UiPath(RPA). Please resolve the issue.  TS01 - https://orxpcatst1ebs.uhc.com:4450/OA_HTML/AppsLocalLogin.jsp?langCode=US&_logoutRedirect=y Server - WN000066842 NUID  - rpa_spt_mrd_t1 ","","Errors"
"2025-02-04 10:13:38","INC41377164","Request to update alert queries for Alert 305, 68, 69","Request to update alert queries for Alert 305, 68, 69 Run the Request Set : XXIRIS Gryphon Outbound  Update the schedule of Alert 192  to every 15 mins at 4:30 PM IST. ","","Alert"
"2025-02-04 11:16:17","INC41377538","Records sent by IRIS to ECDH is being dropped from ETL layer","Records sent by IRIS to ECDH is being dropped from ETL layer  We found many records missing from the Archive table to the foundation based on IRIS_PROCESS_DATE. The assumption is that the IRIS process date won't change even if it failed in the initial attempt and was reprocessed after the reconciliation job caught the missing records. ","","?"
